"tag","class","text_preview","href"
"span"," checkbox-text","Genius (73)",""
"span"," checkbox ","Gigabyte (3)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Gigabyte (3)",""
"span"," checkbox ","Gx (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Gx (1)",""
"span"," checkbox ","Gx Gaming (7)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Gx Gaming (7)",""
"span"," checkbox ","Hiksemi (16)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Hiksemi (16)",""
"span"," checkbox ","Hp (2)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Hp (2)",""
"span"," checkbox ","Hpe Servers (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Hpe Servers (1)",""
"span"," checkbox ","Hyperx (22)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Hyperx (22)",""
"span"," checkbox ","Hyperx Perifericos (2)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Hyperx Perifericos (2)",""
"span"," checkbox ","Jabra (3)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Jabra (3)",""
"span"," checkbox ","Jbl (6)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Jbl (6)",""
"span"," checkbox ","Kingston (34)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Kingston (34)",""
"span"," checkbox ","Lenovo (9)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Lenovo (9)",""
"span"," checkbox ","Lexar (6)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Lexar (6)",""
"span"," checkbox ","Logitech (158)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Logitech (158)",""
"span"," checkbox ","Microsoft (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Microsoft (1)",""
"span"," checkbox ","Netac (2)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Netac (2)",""
"span"," checkbox ","Patriot (2)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Patriot (2)",""
"span"," checkbox ","Philips (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Philips (1)",""
